platform,owner,model,cpu,gpu,soc,ram,notes
mariko,Happy,OLED,1766,1796,1810,WT:F,Best GPU/SOC speedo ever recorded. Best known speedo atm.
mariko,N/a,OLED,1774,1792,1808,WT:F,"Soc issues, broken. Likely highest known cpu speedo."
mariko,N/a,OLED,1749,1786,1803,AA-MGCL,
mariko,Meha,OLED,1738,1755,1778,WT:F,
mariko,WinnerBoi77,OLED,1720,1728,1760,NEE,Extremely good
mariko,evil_santa,OLED,1714,1727,1753,AA-MGCL,
mariko,Souldbminer,OLED,1720,1726,1749,WT:F,"Third best tested console, beats WinnerBoi77's console in GPU UV. Ram is ok though"
mariko,evil_santa,V2,1706,1733,1742,AM-MGCJ,
mariko,Muha,OLED,1700,1717,1731,WT:F,
mariko,Happy,OLED,1703,1721,1730,WT:F,"Please I need average data, too many good units :/"
mariko,Shawn Shakir,OLED,1688,1693,1728,WT:F,
mariko,evil_santa,V2,1697,1707,1728,AM-MGCJ,
mariko,evil_santa,OLED,1666,1707,1727,AA-MGCL,
mariko,tembokbesi,OLED,1683,1701,1725,NEE,
mariko,evil_santa,OLED,1692,1699,1725,AA-MGCL,
mariko,evil_santa,OLED,1694,1718,1724,AA-MGCL,
mariko,sylvixor_,OLED,1700,1702,1721,AA-MGCL,
mariko,Flopsider,V2,1697,1714,1721,AA-MGCL,worst AA bin of all time. 2433 not stable at 1-1-1-1-1-1-1-1. CPU is insanely good.
mariko,miki130504,OLED,1679,1689,1720,AB-MGCL,
mariko,evil_santa,OLED,1676,1688,1720,NEE,
mariko,kacked,Lite,1674,1700,1717,NME,Saddest NME ever
mariko,evil_santa,OLED,1705,1708,1717,NEE,
mariko,android_pie,OLED,1683,1717,1717,AA-MGCL,
mariko,evil_santa,OLED,1671,1682,1716,AA-MGCL,
mariko,Samy,OLED,1684,1690,1715,AA-MGCL,
mariko,killerbee69,OLED,1676,1693,1715,AA-MGCL,
mariko,evil_santa,OLED,1656,1679,1714,WT:F,
mariko,evil_santa,OLED,1655,1683,1714,AB-MGCL,
mariko,evil_santa,OLED,1667,1706,1712,AA-MGCL,
mariko,josehand1,OLED,1656,1670,1711,NEE,
mariko,evil_santa,OLED,1678,1687,1711,NEE,
mariko,Xenshen,Lite,1666,1674,1710,AA-MGCL,
mariko,evil_santa,OLED,1653,1681,1710,NEE,
mariko,Tibe,OLED,1656,1683,1707,AA-MGCL,
mariko,evil_santa,OLED,1671,1696,1707,AA-MGCL,
mariko,Arcdelta,V2,1693,1688,1707,AM-MGCJ,Weird with timings
mariko,Souldbminer,OLED,1677,1693,1706,AA-MGCL,Great console
mariko,evil_santa,Lite,1678,1684,1704,AA-MGCL,
mariko,N/a,OLED,1677,1689,1703,AA-MGCL,
mariko,Samy,OLED,1680,1692,1702,WT:F,
mariko,Samy,OLED,1676,1682,1702,AA-MGCL,"My current personal console, WTB unit died of ligma lol"
mariko,evil_santa,V2,1661,1674,1702,WT:E,
mariko,evil_santa,OLED,1673,1676,1701,NEE,
mariko,evil_santa,OLED,1667,1664,1701,AA-MGCL,
mariko,evil_santa,Lite,1678,1693,1701,AM-MGCJ,
mariko,evil_santa,Lite,1662,1688,1700,AA-MGCL,
mariko,Dom,OLED,1634,1690,1700,WT:F,God tier
mariko,Spudgod,OLED,1662,1689,1698,NEE,
mariko,evil_santa,V2,1658,1676,1698,AA-MGCL,
mariko,nanofix?,Lite,1673,1684,1697,NEE,
mariko,kaitherikkor0830,OLED,1669,1676,1697,WT:B,
mariko,evil_santa,V2,1667,1677,1697,AM-MGCJ,
mariko,Xenshen,Lite,1669,1677,1696,NME,
mariko,evil_santa,OLED,1654,1670,1696,NEE,
mariko,evil_santa,OLED,1662,1682,1696,NEE,
mariko,evil_santa,V2,1650,1672,1695,AB-MGCL,
mariko,evil_santa,V2,1639,1669,1695,AB-MGCL,
mariko,evil_santa,V2,1677,1680,1692,WT:E,
mariko,evil_santa,OLED,1635,1669,1691,AA-MGCL,
mariko,evil_santa,OLED,1640,1661,1690,AB-MGCL,
mariko,kacked,V2,1657,1661,1689,AM-MGCJ,
mariko,evil_santa,OLED,1666,1646,1688,WT:F,
mariko,evil_santa,OLED,1637,1676,1688,NEE,
mariko,evil_santa,OLED,1654,1672,1687,NEE,
mariko,evil_santa,OLED,1643,1665,1687,NEE,
mariko,evil_santa,OLED,1623,1652,1686,WT:B,
mariko,evil_santa,OLED,1662,1673,1686,AB-MGCL,
mariko,evil_santa,V2,1651,1666,1685,AM-MGCJ,
mariko,evil_santa,OLED,1626,1657,1685,NEE,
mariko,blaise25,V2,1638,1660,1685,AM-MGCJ,
