platform,owner,gpu_speedo,uv_table,voltage_offset,vmin,notes,volts
mariko,Lightos_,1540,High UV,0,480,"76-230Mhz need more voltage for whatever reason. Speedo is likely fake, performs like 1580 speedo.",505;505;505;500;500;500;510;540;555;585;605;635;665;695;730;760;780;805;;;;;;
mariko,TDRR,1634,High UV,0,485,768MHz is weird.,485;485;485;485;490;490;500;530;550;575;595;625;655;685;720;745;765;795;;;;;;
mariko,Blaise25,1660,High UV,0,480,"76-230MHz might be ever so slightly unstable. Similar (even though better) results to Samybigio's, with -5 or -10mV in some freqs, getting closer to the next closer speedo as of today (arcdelta's 1688).",480;480;480;480;480;480;490;515;535;560;590;610;640;670;695;725;740;760;;;;;;
mariko,Samybigio,1662,High UV,0,485,PMIC bulking is real (overtook you Blaise :p),485;485;485;485;485;485;490;515;540;560;580;610;630;660;685;720;735;750;;;;;;
mariko,arcdelta,1688,High UV,0,480,Seems perfectly stable. 1305MHz is in observation.,480;480;480;485;485;485;490;515;540;555;580;610;635;660;700;725;740;760;;;;;;
mariko,Spudgod,1689,High UV,0,640,UV is not perfect.,510;510;510;510;510;510;520;540;560;580;610;640;645;670;700;725;745;;;;;;;
mariko,Flopsider,1714,High UV,0,480,needs much more testing on 691-921,480;480;480;480;480;480;485;510;540;560;585;610;640;655;680;710;730;750;;;;;;
mariko,Naga,1724,High UV,0,480,,480;480;480;480;480;480;490;515;540;560;580;610;625;655;680;710;730;750;;;;;;
mariko,Fureddo,1646,High UV,0,480,,480;480;480;480;480;480;500;525;550;570;595;625;655;675;705;735;765;;;;;;;
mariko,Happy,1796,High UV,0,550,Best speedo ever. Unoptimal low freq.,565;550;555;560;560;560;560;565;565;565;570;580;605;625;655;680;705;715;;;;;;
mariko,miki130504,1611,High UV,0,490,,490;490;490;490;490;495;505;530;550;580;600;625;655;685;725;750;765;;;;;;;
mariko,cheesecake,1643,High UV,0,480,,480;480;480;480;480;480;485;510;525;555;580;605;635;660;690;720;740;;;;;;;
mariko,Souldbminer,1726,High UV,0,480,Second best speedo in this sheet,480;480;485;480;480;480;490;510;530;550;575;595;625;655;680;705;725;745;;;;;;
mariko,jelbo,1621,High UV,0,500,,500;500;500;495;495;500;515;535;555;580;605;630;660;685;715;745;770;785;;;;;;
mariko,jelbo,1632,High UV,0,485,,500;500;500;485;490;490;505;535;550;575;605;625;660;685;710;740;760;780;;;;;;
mariko,DolynhoGalatico,1616,High UV,0,490,"I'm pretty sure that 460MHz should work at 495mV, but I got a crash which might be an isolated incident. Need more testing.",490;490;490;495;495;500;520;540;565;585;605;635;665;685;725;755;;;;;;;;
erista,Lightos_,2132,High UV,0,700,2150mhz is about as high as I can go before power draw becomes insane. 2300Mhz is stable maximum but vMin requirement shoots up. Too lazy to find good voltage for 2188. 1075MHz needs 925mv,700;700;700;700;700;715;725;750;768;800;825;860;887;
erista,Craftyawesome,2007,High UV,0,730,,730;730;730;730;730;730;775;800;830;850;870;900;940;
erista,Souldbminer,2128,High UV,0,700,"2227 is max stable(?).1075 at 960, 1152 at 995, pretty good speedo. Lower 998 may be possible. 537 is unsure",700;700;700;700;700;718;737;755;775;800;825;860;895;
erista,zyqifana,2099,High UV,0,710,2131Mhz stable with 1237mv. 2131Mhz@1175mV crashed while playing Fire Emblem Three Houses (docked). Settled for 2054Mhz@1175mV with ST timings. GPU 307Mhz can't be lower than 730mV (visual glitch/disco).,710;710;710;730;730;730;750;770;790;820;845;870;905;
erista,jelbo,2018,High UV,0,730,,735;735;735;740;745;755;765;800;825;840;865;900;937;
erista,Manin,2033,High UV,0,700,1996Mhz@1175mV + Common Timmings proved to be completely stable after long hours of testing,700;700;700;700;700;735;760;795;815;835;865;900;937;
erista,booshankles,2081,High UV,0,720,"using horizon oc 2.5.0 with timing (5-7-8)-1-2-5-4-6 provided by light os, my Stable ram with these gpu settings are 2131mhz-2150mhz@1175mv(rating), 2169mhz@1187mv, 2188@1212mv, and 2208mhz@1237mv. completely stable across the board across the entirety of the games recommended for all stability checks in the stability guide, as well as other heavy games including every MAINLINE switch pokemon game. and weird outliers like echoes of wisdom due it's lighting effects.",720;720;720;720;720;725;755;785;810;840;870;900;930;
mariko,Souldbminer,1682,High UV,-20,470,Fakest speedo ever,;;;;;;;;;;;;;;;;;;765;785;815;835;850;905
erista,jimmy_f,2085,None,0,690,,690;690;690;690;700;725;740;775;800;815;850;875;910;disabled
mariko,jimmy_f,1693,None,0,463,,480;480;480;480;480;480;505;525;545;565;585;605;625;655;685;725;745;765;785;805;825;845;disabled;disabled
